index,name,categories,postalCode,city,address,latitude,longitude,dateUpdated,websites
2566,Subway,Fast Food,85086,Phoenix,4250 W Anthem Way,33.870.849,-112.144.688,2018-06-14T19:38:35Z,http://subway.com/ and http://subway.com and http://www.subway.com
2567,Subway,Fast Food Restaurants,85631,San Manuel,400 S Avenue A,32.602.889,-110.631.785,2018-06-14T19:38:34Z,http://www.subway.com
2568,Subway,Fast Food,85295,Gilbert,2501 S Market St,33.304.919,-111.743.948,2018-06-14T19:38:31Z,http://www.subway.com and http://subway.com/ and http://subway.com
2569,Subway,Fast Food Restaurants,85295,Gilbert,2501 S Market St,33.304.919,-111.743.948,2018-06-14T19:38:31Z,http://www.subway.com and http://subway.com/ and http://subway.com
2570,Subway,Fast Food Restaurants,85382,Peoria,20283 N Lake Pleasant Rd,33.667.951,-112.279.887,2018-06-14T19:38:30Z,http://subway.com and http://subway.com/ and http://www.subway.com
2571,Subway,Fast Food Restaurants,85308,Glendale,18425 N 51st Ave,33.653.132,-112.168.263,2018-06-14T19:38:28Z,http://barrospizza.com and http://www.subway.com
2572,Carl's Jr.,Fast Food Restaurant,93427,Buellton,208 E Highway 246,34.610.572,-120.188.952,2018-06-14T19:38:02Z,http://carlsjr.com and http://www.carlsjr.com
2573,Carl's Jr.,Fast Food Restaurant and Food,93550,Palmdale,2005 E Palmdale Blvd,34.580.269,-118.093.722,2018-06-14T19:38:01Z,http://www.carlsjr.com
2574,Dunkin' Donuts,Fast Food,19140,Philadelphia,3705 Germantown Ave,40.009.414,-75.150.843,2018-06-14T19:38:00Z,http://www.dunkindonuts.com and https://www.dunkindonuts.com/ and http://dunkindonuts.com
2575,Carl's Jr.,Fast Food Restaurant,95116,San Jose,2 N Jackson Ave,37.358.958,-121.843.407,2018-06-14T19:38:00Z,http://www.carlsjr.com and http://carlsjr.com/
2576,Carl's Jr.,Fast Food Restaurant,91335,Reseda,19305 Victory Blvd,34.186.594,-11.855.362,2018-06-14T19:37:59Z,http://www.carlsjr.com and http://www.carlsjr.com/
2577,Carl's Jr.,Fast Food Restaurant,92508,Riverside,19360 Van Buren Blvd,33.888.731,-117.325.496,2018-06-14T19:37:59Z,http://www.carlsjr.com
2578,Dunkin' Donuts,Fast Food,19129,Philadelphia,2901 Abbottsford Ave,40.017.422,-7.517.215,2018-06-14T19:37:57Z,http://www.dunkindonuts.com and http://dunkindonuts.com
2579,Carl's Jr.,Fast Food Restaurant,91335,Reseda,18756 Sherman Way,3.420.107,-118.542.338,2018-06-14T19:37:57Z,http://www.carlsjr.com/
2580,Dunkin' Donuts,Fast Food,19133,Philadelphia,2318 N Front St,39.985.098,-75.132.111,2018-06-14T19:37:56Z,http://www.dunkindonuts.com
2581,Dunkin' Donuts,Fast Food,19140,Philadelphia,221 W Hunting Park Ave,40.014.433,-75.130.667,2018-06-14T19:37:56Z,http://www.dunkindonuts.com and https://www.dunkindonuts.com/
